Time,Brightness,Temperature
12:38:50 PM,91.831482,215.5563354
12:38:55 PM,90.33831,210.275238
12:39:00 PM,90.288284,204.6213837
12:39:05 PM,90.23786,200.3965149
12:39:10 PM,89.600744,197.6938629
12:39:15 PM,89.4637,195.6435547
12:39:20 PM,89.249674,194.8669281
12:39:25 PM,88.41023,194.5252075
12:39:30 PM,88.231838,194.3388062
12:39:35 PM,89.466716,193.7174988
12:39:40 PM,88.821516,194.5252075
12:39:45 PM,87.928114,195.0533142
12:39:50 PM,89.846674,196.3580475
12:39:55 PM,90.15903,197.4142609
12:40:00 PM,88.903952,198.4704895
12:40:05 PM,90.586576,199.184967
12:40:10 PM,91.804464,200.1479797
12:40:15 PM,91.213076,201.2974091
12:40:20 PM,92.291454,202.9362793
12:40:25 PM,94.360966,205.0873566
12:40:30 PM,94.509604,207.7279053
12:40:35 PM,95.79762,211.3314667
12:40:40 PM,97.793648,214.8418274
12:40:45 PM,102.614796,220.3093109
12:40:50 PM,102.488446,226.0252991
12:40:55 PM,107.814416,233.1779022
12:41:00 PM,113.232478,242.5285339
12:41:05 PM,115.098454,252.7724304
12:41:10 PM,117.067022,261.4706726
12:41:15 PM,125.979404,271.10849
12:41:20 PM,124.719116,279.3331604
12:41:25 PM,126.127608,283.9107361
12:41:30 PM,128.555324,288.8786316
12:41:35 PM,129.723036,292.7458801
12:41:40 PM,125.100272,292.061676
12:41:45 PM,123.74095,290.9907532
12:41:50 PM,124.962494,289.9793091
12:41:55 PM,120.639108,285.993103
12:42:00 PM,118.318322,279.1391907
12:42:05 PM,113.964654,268.9573975
12:42:10 PM,104.56895,256.6555786
12:42:15 PM,96.977338,243.9423065
12:42:20 PM,95.091038,232.8907013
12:42:25 PM,91.890824,223.671936
12:42:30 PM,91.70781,215.7116547
12:42:35 PM,90.571386,208.8462524
12:42:40 PM,88.860558,203.7515564
12:42:45 PM,88.215186,199.7130737
12:42:50 PM,89.024608,195.3950195
12:42:55 PM,88.140228,191.605072
12:43:00 PM,87.84705,189.057724
12:43:05 PM,87.92022,187.224884
12:43:10 PM,87.19641,186.2307892
12:43:15 PM,87.556044,186.3239899
12:43:20 PM,88.462164,186.510376
12:43:25 PM,88.671356,186.7589111
12:43:30 PM,87.787854,187.5666046
12:43:35 PM,88.580442,188.5296173
12:43:40 PM,89.556828,190.020752
12:43:45 PM,89.509728,191.6982727
12:43:50 PM,90.537266,193.0962067
12:43:55 PM,91.782088,194.9601135
12:44:00 PM,93.451784,198.3772736
12:44:05 PM,94.774184,201.9187164
12:44:10 PM,97.772686,205.6154633
12:44:15 PM,98.629598,211.0518799
12:44:20 PM,101.961002,216.7057343
12:44:25 PM,104.942108,223.23703
12:44:30 PM,109.25779,230.6850739
12:44:35 PM,112.625554,240.2842102
12:44:40 PM,117.1112,248.5475616
12:44:45 PM,120.305698,257.3390198
12:44:50 PM,120.474226,265.1053162
12:44:55 PM,122.309818,269.5786743
12:45:00 PM,125.072456,275.4810791
12:45:05 PM,125.39631,279.1233215
12:45:10 PM,124.010902,278.1216125
12:45:15 PM,122.435466,278.7816162
12:45:20 PM,123.20509,279.2710266
12:45:25 PM,120.94971,274.2384644
12:45:30 PM,115.760748,265.2606201
12:45:35 PM,105.866304,254.6052551
12:45:40 PM,98.295112,240.4395447
12:45:45 PM,94.525088,228.7590179
12:45:50 PM,92.68139,219.0666962
12:45:55 PM,90.088368,211.4246674
12:46:00 PM,89.763162,205.242691
12:46:05 PM,89.776404,199.9616089
12:46:10 PM,88.828866,196.3580475
12:46:15 PM,89.252996,193.0340729
12:46:20 PM,94.482478,190.3003387
12:46:25 PM,93.498238,186.7589111
12:46:30 PM,93.168252,184.1183624
12:46:35 PM,93.35214,182.6658936
12:46:40 PM,92.488006,181.9438019
12:46:45 PM,92.41494,181.6642151
12:46:50 PM,93.637136,181.477829
12:46:55 PM,93.97944,182.3787231
12:47:00 PM,93.086268,183.8698425
12:47:05 PM,94.070052,184.871521
12:47:10 PM,94.269356,186.4171906
12:47:15 PM,93.524642,189.1509247
12:47:20 PM,92.776852,191.4497528
12:47:25 PM,96.553982,194.4320068
12:47:30 PM,98.247916,198.2840729
12:47:35 PM,98.378288,203.1689148
12:47:40 PM,101.524898,208.5045319
12:47:45 PM,107.669208,215.898056
12:47:50 PM,109.891946,222.7089233
12:47:55 PM,111.362274,231.0654755
12:48:00 PM,119.44411,243.0800781
12:48:05 PM,124.118266,254.3567505
12:48:10 PM,125.776182,265.4470215
12:48:15 PM,131.075216,275.6364136
12:48:20 PM,132.908876,282.3935852
12:48:25 PM,129.783896,288.9678955
12:48:30 PM,128.508922,294.9472351
12:48:35 PM,130.533686,298.7252197
12:48:40 PM,127.041296,297.5353088
12:48:45 PM,119.271454,288.8786316
12:48:50 PM,111.402438,273.896759
12:48:55 PM,100.901304,257.5640869
12:49:00 PM,93.197288,242.8315735
12:49:05 PM,93.981526,229.8152466
12:49:10 PM,94.715286,218.6317902
12:49:15 PM,94.136906,209.840332
12:49:20 PM,94.082036,202.7885437
12:49:25 PM,91.72795,195.9231415
12:49:30 PM,90.014022,189.8654327
12:49:35 PM,89.98446,185.3609772
12:49:40 PM,89.044692,181.9672699
12:49:45 PM,88.429564,179.0236664
12:49:50 PM,88.860032,176.5695343
12:49:55 PM,92.641978,181.9438019
12:50:00 PM,108.399508,190.5488586
12:50:05 PM,105.574154,197.0725403
12:50:10 PM,113.65542,203.7515564
12:50:15 PM,117.544474,209.840332
12:50:20 PM,114.720942,210.4305725
12:50:25 PM,109.282564,208.9394379
12:50:30 PM,108.728912,207.7513885
12:50:35 PM,108.309126,205.5222778
12:50:40 PM,105.763118,204.1864624
