Index,Brightness,Temperature
0,113.7254410048131,262.41391693673097
1,113.7254410048131,262.41391693673097
2,112.28832589276998,257.1357369622129
3,112.28832589276998,257.1357369622129
4,113.01643708822775,256.8325949867075
5,113.01643708822775,256.8325949867075
6,110.43095412223833,254.70853509215848
7,110.43095412223833,254.70853509215848
8,111.76161493062487,252.20153980399425
9,111.76161493062487,252.20153980399425
10,110.7799354159554,249.13779065895102
11,110.7799354159554,249.13779065895102
12,113.03092121926308,251.77801302441264
13,113.03092121926308,251.77801302441264
14,113.45583223582588,250.54973702258766
15,113.45583223582588,250.54973702258766
16,113.83323881670134,254.24831981798627
17,113.83323881670134,254.24831981798627
18,110.63030750250066,255.815223105246
19,110.63030750250066,255.815223105246
20,110.61340365244735,253.8538483652248
21,110.61340365244735,253.8538483652248
22,113.50093237604318,257.246010139806
23,113.50093237604318,257.246010139806
24,116.07698725328297,259.54793358829824
25,116.07698725328297,259.54793358829824
26,115.22779116631261,261.1913432122674
27,115.22779116631261,261.1913432122674
28,115.55893573696909,260.4500605984456
29,115.55893573696909,260.4500605984456
30,115.70643865957659,262.15741802558733
31,115.70643865957659,262.15741802558733
32,115.10324998988435,263.09158186601076
33,115.10324998988435,263.09158186601076
34,117.96798928388924,266.976658309224
35,117.96798928388924,266.976658309224
36,118.54924668744934,270.60927598273486
37,118.54924668744934,270.60927598273486
38,118.13070894559323,268.74794577151795
39,118.13070894559323,268.74794577151795
40,122.66795509322188,278.00031528580905
41,122.66795509322188,278.00031528580905
42,124.04668042697465,285.6930972387849
43,124.04668042697465,285.6930972387849
44,129.39847538958134,297.2268655055259
45,129.39847538958134,297.2268655055259
46,128.27058230954884,298.5054638285536
47,128.27058230954884,298.5054638285536
48,130.98355861244806,314.35484555111196
49,130.98355861244806,314.35484555111196
50,134.1031572407494,334.71603787378456
51,134.1031572407494,334.71603787378456
52,137.9384359989306,337.6501415060477
53,137.9384359989306,337.6501415060477
54,130.08296957649392,341.8166334809107
55,130.08296957649392,341.8166334809107
56,129.46725468678903,340.19873075722455
57,129.46725468678903,340.19873075722455
58,134.01704316431068,336.72092970138794
59,134.01704316431068,336.72092970138794
60,124.8343224608196,318.3629420470712
61,124.8343224608196,318.3629420470712
62,114.29960352688222,291.8997868467187
63,114.29960352688222,291.8997868467187
64,96.09359185988455,240.28032541140556
65,96.09359185988455,240.28032541140556
66,93.61033575132521,222.60599567690383
67,93.61033575132521,222.60599567690383
68,90.03006826479921,206.89475841656306
69,90.03006826479921,206.89475841656306
70,92.50479691126347,206.94394668414162
71,92.50479691126347,206.94394668414162
72,90.59702523898191,200.9136385316645
73,90.59702523898191,200.9136385316645
74,90.28903274277758,198.60833542745223
75,90.28903274277758,198.60833542745223
76,88.963690300373,195.0252414142691
77,88.963690300373,195.0252414142691
78,87.07718297286216,191.54030023792018
79,87.07718297286216,191.54030023792018
80,88.74308757574079,193.71323009761068
81,88.74308757574079,193.71323009761068
